time,EC_slab1,EC_slab2,WC_slab1,WC_slab2,t_slab1,t_slab2
43815,NaN,NaN,NaN,NaN,NaN,NaN
43815.00347,NaN,NaN,NaN,NaN,NaN,NaN
43815.00694,NaN,NaN,NaN,NaN,NaN,NaN
43815.01042,NaN,NaN,NaN,NaN,NaN,NaN
43815.01389,NaN,NaN,NaN,NaN,NaN,NaN
43815.01736,NaN,NaN,NaN,NaN,NaN,NaN
43815.02083,NaN,NaN,NaN,NaN,NaN,NaN
43815.02431,NaN,NaN,NaN,NaN,NaN,NaN
43815.02778,NaN,NaN,NaN,NaN,NaN,NaN
43815.03125,NaN,NaN,NaN,NaN,NaN,NaN
43815.03472,NaN,NaN,NaN,NaN,NaN,NaN
43815.03819,NaN,NaN,NaN,NaN,NaN,NaN
43815.04167,NaN,NaN,NaN,NaN,NaN,NaN
43815.04514,NaN,NaN,NaN,NaN,NaN,NaN
43815.04861,NaN,NaN,NaN,NaN,NaN,NaN
43815.05208,NaN,NaN,NaN,NaN,NaN,NaN
43815.05556,NaN,NaN,NaN,NaN,NaN,NaN
43815.05903,NaN,NaN,NaN,NaN,NaN,NaN
43815.0625,NaN,NaN,NaN,NaN,NaN,NaN
43815.06597,NaN,NaN,NaN,NaN,NaN,NaN
43815.06944,NaN,NaN,NaN,NaN,NaN,NaN
43815.07292,NaN,NaN,NaN,NaN,NaN,NaN
43815.07639,NaN,NaN,NaN,NaN,NaN,NaN
43815.07986,NaN,NaN,NaN,NaN,NaN,NaN
43815.08333,NaN,NaN,NaN,NaN,NaN,NaN
43815.08681,NaN,NaN,NaN,NaN,NaN,NaN
43815.09028,NaN,NaN,NaN,NaN,NaN,NaN
43815.09375,NaN,NaN,NaN,NaN,NaN,NaN
43815.09722,NaN,NaN,NaN,NaN,NaN,NaN
43815.10069,NaN,NaN,NaN,NaN,NaN,NaN
43815.10417,NaN,NaN,NaN,NaN,NaN,NaN
43815.10764,NaN,NaN,NaN,NaN,NaN,NaN
43815.11111,NaN,NaN,NaN,NaN,NaN,NaN
43815.11458,NaN,NaN,NaN,NaN,NaN,NaN
43815.11806,NaN,NaN,NaN,NaN,NaN,NaN
43815.12153,NaN,NaN,NaN,NaN,NaN,NaN
43815.125,NaN,NaN,NaN,NaN,NaN,NaN
43815.12847,NaN,NaN,NaN,NaN,NaN,NaN
43815.13194,NaN,NaN,NaN,NaN,NaN,NaN
43815.13542,NaN,NaN,NaN,NaN,NaN,NaN
43815.13889,NaN,NaN,NaN,NaN,NaN,NaN
43815.14236,NaN,NaN,NaN,NaN,NaN,NaN
43815.14583,NaN,NaN,NaN,NaN,NaN,NaN
43815.14931,NaN,NaN,NaN,NaN,NaN,NaN
43815.15278,NaN,NaN,NaN,NaN,NaN,NaN
43815.15625,NaN,NaN,NaN,NaN,NaN,NaN
43815.15972,NaN,NaN,NaN,NaN,NaN,NaN
43815.16319,NaN,NaN,NaN,NaN,NaN,NaN
43815.16667,NaN,NaN,NaN,NaN,NaN,NaN
43815.17014,NaN,NaN,NaN,NaN,NaN,NaN
43815.17361,NaN,NaN,NaN,NaN,NaN,NaN
43815.17708,NaN,NaN,NaN,NaN,NaN,NaN
43815.18056,NaN,NaN,NaN,NaN,NaN,NaN
43815.18403,NaN,NaN,NaN,NaN,NaN,NaN
43815.1875,NaN,NaN,NaN,NaN,NaN,NaN
43815.19097,NaN,NaN,NaN,NaN,NaN,NaN
43815.19444,NaN,NaN,NaN,NaN,NaN,NaN
43815.19792,NaN,NaN,NaN,NaN,NaN,NaN
43815.20139,NaN,NaN,NaN,NaN,NaN,NaN
43815.20486,NaN,NaN,NaN,NaN,NaN,NaN
43815.20833,NaN,NaN,NaN,NaN,NaN,NaN
43815.21181,NaN,NaN,NaN,NaN,NaN,NaN
43815.21528,NaN,NaN,NaN,NaN,NaN,NaN
43815.21875,NaN,NaN,NaN,NaN,NaN,NaN
43815.22222,NaN,NaN,NaN,NaN,NaN,NaN
43815.22569,NaN,NaN,NaN,NaN,NaN,NaN
43815.22917,NaN,NaN,NaN,NaN,NaN,NaN
43815.23264,NaN,NaN,NaN,NaN,NaN,NaN
43815.23611,NaN,NaN,NaN,NaN,NaN,NaN
43815.23958,NaN,NaN,NaN,NaN,NaN,NaN
43815.24306,NaN,NaN,NaN,NaN,NaN,NaN
43815.24653,NaN,NaN,NaN,NaN,NaN,NaN
43815.25,NaN,NaN,NaN,NaN,NaN,NaN
43815.25347,NaN,NaN,NaN,NaN,NaN,NaN
43815.25694,NaN,NaN,NaN,NaN,NaN,NaN
43815.26042,NaN,NaN,NaN,NaN,NaN,NaN
43815.26389,NaN,NaN,NaN,NaN,NaN,NaN
43815.26736,NaN,NaN,NaN,NaN,NaN,NaN
43815.27083,NaN,NaN,NaN,NaN,NaN,NaN
