time,EC_slab1,EC_slab2,WC_slab1,WC_slab2,t_slab1,t_slab2
43815.38,NaN,NaN,NaN,NaN,NaN,NaN
43815.38,NaN,NaN,NaN,NaN,NaN,NaN
43815.38,NaN,NaN,NaN,NaN,NaN,NaN
43815.39,NaN,NaN,NaN,NaN,NaN,NaN
43815.39,NaN,NaN,NaN,NaN,NaN,NaN
43815.39,NaN,NaN,NaN,NaN,NaN,NaN
43815.40,NaN,NaN,NaN,NaN,NaN,NaN
43815.40,NaN,NaN,NaN,NaN,NaN,NaN
43815.40,NaN,NaN,NaN,NaN,NaN,NaN
43815.41,NaN,NaN,NaN,NaN,NaN,NaN
43815.41,NaN,NaN,NaN,NaN,NaN,NaN
43815.41,NaN,NaN,NaN,NaN,NaN,NaN
43815.42,NaN,NaN,NaN,NaN,NaN,NaN
43815.42,NaN,NaN,NaN,NaN,NaN,NaN
43815.42,NaN,NaN,NaN,NaN,NaN,NaN
43815.43,NaN,NaN,NaN,NaN,NaN,NaN
43815.43,NaN,NaN,NaN,NaN,NaN,NaN
43815.43,NaN,NaN,NaN,NaN,NaN,NaN
43815.44,NaN,NaN,NaN,NaN,NaN,NaN
43815.44,NaN,NaN,NaN,NaN,NaN,NaN
43815.44,NaN,NaN,NaN,NaN,NaN,NaN
43815.45,NaN,NaN,NaN,NaN,NaN,NaN
43815.45,NaN,NaN,NaN,NaN,NaN,NaN
43815.45,NaN,NaN,NaN,NaN,NaN,NaN
43815.46,NaN,NaN,NaN,NaN,NaN,NaN
43815.46,NaN,NaN,NaN,NaN,NaN,NaN
43815.47,NaN,NaN,NaN,NaN,NaN,NaN
43815.47,NaN,NaN,NaN,NaN,NaN,NaN
43815.47,NaN,NaN,NaN,NaN,NaN,NaN
43815.48,NaN,NaN,NaN,NaN,NaN,NaN
43815.48,NaN,NaN,NaN,NaN,NaN,NaN
43815.48,NaN,NaN,NaN,NaN,NaN,NaN
43815.49,NaN,NaN,NaN,NaN,NaN,NaN
43815.49,NaN,NaN,NaN,NaN,NaN,NaN
43815.49,NaN,NaN,NaN,NaN,NaN,NaN
43815.50,NaN,NaN,NaN,NaN,NaN,NaN
43815.50,NaN,NaN,NaN,NaN,NaN,NaN
43815.50,NaN,NaN,NaN,NaN,NaN,NaN
43815.51,NaN,NaN,NaN,NaN,NaN,NaN
43815.51,NaN,NaN,NaN,NaN,NaN,NaN
43815.51,NaN,NaN,NaN,NaN,NaN,NaN
43815.52,NaN,NaN,NaN,NaN,NaN,NaN
43815.52,NaN,NaN,NaN,NaN,NaN,NaN
43815.52,NaN,NaN,NaN,NaN,NaN,NaN
43815.53,NaN,NaN,NaN,NaN,NaN,NaN
43815.53,NaN,NaN,NaN,NaN,NaN,NaN
43815.53,NaN,NaN,NaN,NaN,NaN,NaN
43815.54,NaN,NaN,NaN,NaN,NaN,NaN
43815.54,4.734277,4.648666,91.399,88.288,22.4,22.55
43815.55,NaN,NaN,NaN,NaN,NaN,NaN
43815.55,NaN,NaN,NaN,NaN,NaN,NaN
43815.55,NaN,NaN,NaN,NaN,NaN,NaN
43815.56,NaN,NaN,NaN,NaN,NaN,NaN
43815.56,NaN,NaN,NaN,NaN,NaN,NaN
43815.56,NaN,NaN,NaN,NaN,NaN,NaN
43815.57,NaN,NaN,NaN,NaN,NaN,NaN
43815.57,NaN,NaN,NaN,NaN,NaN,NaN
43815.57,NaN,NaN,NaN,NaN,NaN,NaN
43815.58,NaN,NaN,NaN,NaN,NaN,NaN
43815.58,NaN,NaN,NaN,NaN,NaN,NaN
43815.58,NaN,NaN,NaN,NaN,NaN,NaN
43815.59,NaN,NaN,NaN,NaN,NaN,NaN
43815.59,NaN,NaN,NaN,NaN,NaN,NaN
43815.59,NaN,NaN,NaN,NaN,NaN,NaN
43815.60,NaN,NaN,NaN,NaN,NaN,NaN
43815.60,NaN,NaN,NaN,NaN,NaN,NaN
43815.60,NaN,NaN,NaN,NaN,NaN,NaN
43815.61,NaN,NaN,NaN,NaN,NaN,NaN
43815.61,NaN,NaN,NaN,NaN,NaN,NaN
43815.61,NaN,NaN,NaN,NaN,NaN,NaN
43815.62,NaN,NaN,NaN,NaN,NaN,NaN
43815.62,NaN,NaN,NaN,NaN,NaN,NaN
43815.63,NaN,NaN,NaN,NaN,NaN,NaN
43815.63,NaN,NaN,NaN,NaN,NaN,NaN
43815.63,NaN,NaN,NaN,NaN,NaN,NaN
43815.64,NaN,NaN,NaN,NaN,NaN,NaN
43815.64,NaN,NaN,NaN,NaN,NaN,NaN
43815.64,NaN,NaN,NaN,NaN,NaN,NaN
43815.65,NaN,NaN,NaN,NaN,NaN,NaN
43815.65,NaN,NaN,NaN,NaN,NaN,NaN
43815.65,NaN,NaN,NaN,NaN,NaN,NaN
43815.66,NaN,NaN,NaN,NaN,NaN,NaN
43815.66,NaN,NaN,NaN,NaN,NaN,NaN
43815.66,NaN,NaN,NaN,NaN,NaN,NaN
43815.67,NaN,NaN,NaN,NaN,NaN,NaN
43815.67,NaN,NaN,NaN,NaN,NaN,NaN
43815.67,NaN,NaN,NaN,NaN,NaN,NaN
43815.68,NaN,NaN,NaN,NaN,NaN,NaN
43815.68,NaN,NaN,NaN,NaN,NaN,NaN
43815.68,NaN,NaN,NaN,NaN,NaN,NaN
43815.69,NaN,NaN,NaN,NaN,NaN,NaN
43815.69,NaN,NaN,NaN,NaN,NaN,NaN
43815.69,NaN,NaN,NaN,NaN,NaN,NaN
43815.70,NaN,NaN,NaN,NaN,NaN,NaN
43815.70,NaN,NaN,NaN,NaN,NaN,NaN
43815.70,NaN,NaN,NaN,NaN,NaN,NaN
43815.71,NaN,NaN,NaN,NaN,NaN,NaN
43815.71,NaN,NaN,NaN,NaN,NaN,NaN
43815.72,NaN,NaN,NaN,NaN,NaN,NaN
43815.72,NaN,NaN,NaN,NaN,NaN,NaN
43815.72,NaN,NaN,NaN,NaN,NaN,NaN
43815.73,NaN,NaN,NaN,NaN,NaN,NaN
43815.73,NaN,NaN,NaN,NaN,NaN,NaN
43815.73,NaN,NaN,NaN,NaN,NaN,NaN
43815.74,NaN,NaN,NaN,NaN,NaN,NaN
43815.74,NaN,NaN,NaN,NaN,NaN,NaN
43815.74,NaN,NaN,NaN,NaN,NaN,NaN
43815.75,NaN,NaN,NaN,NaN,NaN,NaN
43815.75,NaN,NaN,NaN,NaN,NaN,NaN
43815.75,NaN,NaN,NaN,NaN,NaN,NaN
43815.76,NaN,NaN,NaN,NaN,NaN,NaN
43815.76,NaN,NaN,NaN,NaN,NaN,NaN
43815.76,NaN,NaN,NaN,NaN,NaN,NaN
43815.77,NaN,NaN,NaN,NaN,NaN,NaN
43815.77,NaN,NaN,NaN,NaN,NaN,NaN
43815.77,NaN,NaN,NaN,NaN,NaN,NaN
43815.78,NaN,NaN,NaN,NaN,NaN,NaN
43815.78,NaN,NaN,NaN,NaN,NaN,NaN
43815.78,NaN,NaN,NaN,NaN,NaN,NaN
43815.79,NaN,NaN,NaN,NaN,NaN,NaN
43815.79,NaN,NaN,NaN,NaN,NaN,NaN
43815.80,NaN,NaN,NaN,NaN,NaN,NaN
43815.80,NaN,NaN,NaN,NaN,NaN,NaN
43815.80,NaN,NaN,NaN,NaN,NaN,NaN
43815.81,NaN,NaN,NaN,NaN,NaN,NaN
43815.81,NaN,NaN,NaN,NaN,NaN,NaN
43815.81,NaN,NaN,NaN,NaN,NaN,NaN
43815.82,NaN,NaN,NaN,NaN,NaN,NaN
43815.82,NaN,NaN,NaN,NaN,NaN,NaN
43815.82,NaN,NaN,NaN,NaN,NaN,NaN
43815.83,NaN,NaN,NaN,NaN,NaN,NaN
43815.83,NaN,NaN,NaN,NaN,NaN,NaN
43815.83,NaN,NaN,NaN,NaN,NaN,NaN
43815.84,NaN,NaN,NaN,NaN,NaN,NaN
43815.84,NaN,NaN,NaN,NaN,NaN,NaN
43815.84,NaN,NaN,NaN,NaN,NaN,NaN
43815.85,NaN,NaN,NaN,NaN,NaN,NaN
43815.85,NaN,NaN,NaN,NaN,NaN,NaN
43815.85,NaN,NaN,NaN,NaN,NaN,NaN
43815.86,NaN,NaN,NaN,NaN,NaN,NaN
43815.86,NaN,NaN,NaN,NaN,NaN,NaN
