start_idx,predictor,objective_mean,objective_rank,co2_mae,co2_rank,tair_mae,rhair_mae
0,current_hybrid_transformer,0.04422316129785031,1,18.817821502685547,12,0.3623392581939697,1.2060308456420898
0,transformer_hybrid_residual,0.10621375049231574,8,18.168428421020508,11,1.6721086502075195,4.583552837371826
0,segrnn_forecaster,0.04863006016239524,2,14.4247407913208,8,0.3909415006637573,2.194520950317383
0,frequency_forecaster,0.43380489355574053,16,15.529648780822754,9,1.7248512506484985,8.758808135986328
0,itransformer_co2_residual,0.055770663816171386,3,6.331002712249756,1,0.9379992485046387,1.5003553628921509
0,itransformer_co2_protected_expert,0.0606412547834528,4,14.206242561340332,7,0.8803367614746094,1.4408197402954102
0,itransformer_co2_late_residual,0.07050508935935795,6,10.124994277954102,5,1.1533123254776,1.6179925203323364
0,itransformer_co2_late_frozen_expert,0.15382690029218793,11,6.44212532043457,2,2.2016470432281494,4.301968097686768
0,itransformer_co2_control_aware_fusion,0.15054737417570627,9,6.622757434844971,3,2.217211961746216,4.261056900024414
0,itransformer_co2_horizon_mixture,0.37336348080619547,14,29.379623413085938,14,3.3290059566497803,5.667673587799072
0,itransformer_residual,0.19244779120587432,12,11.531888008117676,6,2.2164032459259033,5.675436496734619
0,patchtst_residual,0.2628365657098281,13,36.01357650756836,15,3.088890314102173,7.961357116699219
0,transformer_forecaster,0.08576489061427613,7,16.465669631958008,10,1.0368291139602661,4.063201904296875
0,nlinear_forecaster,0.15259951422922313,10,25.23583221435547,13,1.8669614791870117,4.1818389892578125
0,dlinear_forecaster,0.39618113019969314,15,37.82425308227539,16,3.4360313415527344,6.458637237548828
0,itransformer_co2_wavelet_residual,0.06358634760060038,5,7.711439609527588,4,1.0611761808395386,2.1475131511688232
96,current_hybrid_transformer,0.0517169275165846,1,24.38408851623535,9,0.5260074138641357,1.4861236810684204
96,transformer_hybrid_residual,0.06658907321980223,4,23.095304489135742,7,0.8732686042785645,1.9859367609024048
96,segrnn_forecaster,0.07382802110320578,5,16.885677337646484,4,0.3395766317844391,3.2094478607177734
96,frequency_forecaster,0.39638610257922363,16,31.74956703186035,13,1.1582006216049194,6.495424747467041
96,itransformer_co2_residual,0.06539264280581847,3,11.074187278747559,1,0.5512762665748596,0.6795547604560852
96,itransformer_co2_protected_expert,0.12782935571158305,14,50.39009475708008,16,0.8291708827018738,0.7485520839691162
96,itransformer_co2_late_residual,0.10074781948545326,10,36.86555862426758,14,1.1352779865264893,1.230023741722107
96,itransformer_co2_late_frozen_expert,0.11325421830406412,12,25.36639404296875,10,1.1217082738876343,1.282185435295105
96,itransformer_co2_control_aware_fusion,0.10721564873044069,11,26.15350914001465,11,1.0718227624893188,1.179421067237854
96,itransformer_co2_horizon_mixture,0.12341030217551936,13,41.01234436035156,15,1.3049792051315308,1.712882161140442
96,itransformer_residual,0.16661961621139199,15,18.051841735839844,5,2.392040491104126,4.198577404022217
96,patchtst_residual,0.0951984046259895,7,30.907594680786133,12,0.8508591055870056,2.5981740951538086
96,transformer_forecaster,0.05890920358554771,2,23.64796257019043,8,0.3053044080734253,1.8979231119155884
96,nlinear_forecaster,0.09584592587392156,8,18.771705627441406,6,1.0252386331558228,2.6947338581085205
96,dlinear_forecaster,0.09774145972914994,9,16.177457809448242,3,1.0181900262832642,2.195167064666748
96,itransformer_co2_wavelet_residual,0.09022926331575339,6,12.312408447265625,2,0.9970765709877014,2.260113000869751
192,current_hybrid_transformer,0.04285019543021917,4,49.13789749145508,13,0.538621723651886,0.9616224765777588
192,transformer_hybrid_residual,0.023475377762224525,1,20.637250900268555,8,0.12885497510433197,0.5581567883491516
192,segrnn_forecaster,0.11640529478124033,16,111.29247283935547,16,0.672799289226532,5.178913593292236
192,frequency_forecaster,0.07501921088745196,13,12.0407133102417,4,0.34309908747673035,2.1398932933807373
192,itransformer_co2_residual,0.04646824798934782,7,10.700886726379395,1,0.3525058329105377,1.5947846174240112
192,itransformer_co2_protected_expert,0.08138930968319376,14,51.830501556396484,14,0.5112475752830505,1.38104248046875
192,itransformer_co2_late_residual,0.11574908881448209,15,47.74226760864258,12,0.24258925020694733,1.2687453031539917
192,itransformer_co2_late_frozen_expert,0.061599476563666634,11,20.48285675048828,7,0.12031552940607071,2.397282361984253
192,itransformer_co2_control_aware_fusion,0.06057415945300212,9,20.160802841186523,6,0.12625785171985626,2.3715269565582275
192,itransformer_co2_horizon_mixture,0.06780891799523185,12,26.26959228515625,10,0.2285432666540146,0.5557050108909607
192,itransformer_residual,0.03596895172571143,2,11.644330024719238,3,0.1891234666109085,1.3165264129638672
192,patchtst_residual,0.06120661009723941,10,57.06890869140625,15,0.29615524411201477,1.2114018201828003
192,transformer_forecaster,0.038943664830488466,3,31.78847312927246,11,0.07292238622903824,1.436308741569519
192,nlinear_forecaster,0.045233746272667,6,23.84612464904785,9,0.51045161485672,2.0770275592803955
192,dlinear_forecaster,0.04492917832491609,5,11.316402435302734,2,0.26051613688468933,2.0098321437835693
192,itransformer_co2_wavelet_residual,0.055304778419667855,8,12.502181053161621,5,0.40996798872947693,2.2941341400146484
