metric,metric_kind,control_target,pearson,spearman,pairwise_consistency,pairwise_agree,pairwise_total,top1_hits_best,top3_hits_best,top3_overlap_fraction
tair_first_step_mae,selection,mpc_tair_mae,-0.09622711329435006,-0.2735294117647059,0.4083333333333333,49,120,False,False,0.0
tair_first_step_mae,selection,mpc_rhair_mae,0.46455544201752297,0.10588235294117648,0.5333333333333333,64,120,False,False,0.0
tair_first_step_mae,selection,mpc_co2_mae,0.05719661994222149,0.2411764705882353,0.5833333333333334,70,120,False,False,0.3333333333333333
tair_first_step_mae,selection,mpc_objective,0.44767638456566017,0.0823529411764706,0.5166666666666667,62,120,False,False,0.0
tair_control_horizon_mae,selection,mpc_tair_mae,-0.09768144826534503,-0.14422373293778876,0.46218487394957986,55,119,False,False,0.0
tair_control_horizon_mae,selection,mpc_rhair_mae,0.4197984258235294,0.04562179307215766,0.5126050420168067,61,119,False,False,0.0
tair_control_horizon_mae,selection,mpc_co2_mae,-0.055799228817890234,0.15158208665910447,0.5378151260504201,64,119,False,False,0.0
tair_control_horizon_mae,selection,mpc_objective,0.4343761075553662,0.12067700102957835,0.5294117647058824,63,119,False,False,0.0
tair_weighted_horizon_mae,selection,mpc_tair_mae,-0.2726558494900755,-0.4676470588235294,0.3333333333333333,40,120,False,False,0.0
tair_weighted_horizon_mae,selection,mpc_rhair_mae,0.2736861967561628,-0.1323529411764706,0.44166666666666665,53,120,False,False,0.0
tair_weighted_horizon_mae,selection,mpc_co2_mae,-0.05637135350081729,0.18235294117647058,0.575,69,120,False,False,0.0
tair_weighted_horizon_mae,selection,mpc_objective,0.2801526644258915,-0.11176470588235293,0.4583333333333333,55,120,False,False,0.0
tair_full_horizon_mae,selection,mpc_tair_mae,-0.2895827276231764,-0.4735294117647058,0.325,39,120,False,False,0.0
tair_full_horizon_mae,selection,mpc_rhair_mae,0.2556367367789711,-0.12941176470588234,0.45,54,120,False,False,0.0
tair_full_horizon_mae,selection,mpc_co2_mae,-0.05683282328973797,0.17941176470588235,0.5666666666666667,68,120,False,False,0.0
tair_full_horizon_mae,selection,mpc_objective,0.26202461964816864,-0.10588235294117648,0.4666666666666667,56,120,False,False,0.0
tair_final_step_mae,selection,mpc_tair_mae,-0.3399351610762794,-0.4382352941176471,0.35,42,120,False,False,0.0
tair_final_step_mae,selection,mpc_rhair_mae,0.1699844613613839,-0.1264705882352941,0.475,57,120,False,False,0.0
tair_final_step_mae,selection,mpc_co2_mae,-0.08207714746021726,-0.06764705882352941,0.475,57,120,False,False,0.0
tair_final_step_mae,selection,mpc_objective,0.19543878280504362,-0.07941176470588236,0.475,57,120,False,False,0.0
tair_control_horizon_abs_bias,selection,mpc_tair_mae,-0.09733748542687241,-0.03823529411764706,0.49166666666666664,59,120,False,True,0.3333333333333333
tair_control_horizon_abs_bias,selection,mpc_rhair_mae,0.32923573019906155,0.18235294117647058,0.55,66,120,False,True,0.3333333333333333
tair_control_horizon_abs_bias,selection,mpc_co2_mae,0.02662473889918708,0.11176470588235293,0.55,66,120,False,False,0.0
tair_control_horizon_abs_bias,selection,mpc_objective,0.3078596713834209,0.19705882352941176,0.5833333333333334,70,120,False,True,0.3333333333333333
tair_constraint_near_mae_proxy,selection,mpc_tair_mae,-0.2153864499018167,-0.023546731908210407,0.4957983193277311,59,119,False,False,0.0
tair_constraint_near_mae_proxy,selection,mpc_rhair_mae,0.20631815910163528,0.19573220898699903,0.5630252100840336,67,119,False,False,0.6666666666666666
tair_constraint_near_mae_proxy,selection,mpc_co2_mae,-0.15016876095262324,0.042678451583631365,0.5210084033613446,62,119,False,True,0.3333333333333333
tair_constraint_near_mae_proxy,selection,mpc_objective,0.2744080125265549,0.20897724568536738,0.5966386554621849,71,119,False,False,0.3333333333333333
rhair_first_step_mae,selection,mpc_tair_mae,0.17042888141065488,0.2441176470588235,0.575,69,120,False,True,0.6666666666666666
rhair_first_step_mae,selection,mpc_rhair_mae,0.5987355818554488,0.43529411764705883,0.6833333333333333,82,120,False,True,0.3333333333333333
rhair_first_step_mae,selection,mpc_co2_mae,0.12026606708489569,0.15882352941176472,0.5333333333333333,64,120,False,False,0.0
rhair_first_step_mae,selection,mpc_objective,0.6810624194092811,0.5352941176470588,0.7,84,120,False,True,0.6666666666666666
rhair_control_horizon_mae,selection,mpc_tair_mae,0.05358839253708611,0.0411764705882353,0.5166666666666667,62,120,False,False,0.0
rhair_control_horizon_mae,selection,mpc_rhair_mae,0.5705931788210324,0.39999999999999997,0.6416666666666667,77,120,False,False,0.3333333333333333
rhair_control_horizon_mae,selection,mpc_co2_mae,0.22469429083366163,0.12058823529411765,0.525,63,120,False,False,0.0
rhair_control_horizon_mae,selection,mpc_objective,0.571985765539153,0.3764705882352941,0.6416666666666667,77,120,False,False,0.0
rhair_weighted_horizon_mae,selection,mpc_tair_mae,-0.30282829788788046,-0.30316417331820894,0.3865546218487395,46,119,False,True,0.3333333333333333
rhair_weighted_horizon_mae,selection,mpc_rhair_mae,0.3930919043756266,0.166298794101736,0.5546218487394958,66,119,False,True,0.3333333333333333
rhair_weighted_horizon_mae,selection,mpc_co2_mae,0.37961122122239155,0.15746876963615708,0.5630252100840336,67,119,False,False,0.0
rhair_weighted_horizon_mae,selection,mpc_objective,0.2242990427631182,0.09418692763284163,0.5378151260504201,64,119,False,True,0.3333333333333333
rhair_full_horizon_mae,selection,mpc_tair_mae,-0.33237209858939715,-0.31176470588235294,0.375,45,120,False,True,0.3333333333333333
rhair_full_horizon_mae,selection,mpc_rhair_mae,0.3681326150728995,0.15294117647058825,0.55,66,120,False,True,0.3333333333333333
rhair_full_horizon_mae,selection,mpc_co2_mae,0.38630628866192657,0.2058823529411765,0.5666666666666667,68,120,False,False,0.0
rhair_full_horizon_mae,selection,mpc_objective,0.18486972826241405,0.07058823529411765,0.5333333333333333,64,120,False,True,0.3333333333333333
rhair_final_step_mae,selection,mpc_tair_mae,-0.3751973779863479,-0.3384842711805246,0.35294117647058826,42,119,True,True,0.3333333333333333
rhair_final_step_mae,selection,mpc_rhair_mae,0.3051829137158778,0.08388523242299958,0.5210084033613446,62,119,True,True,0.3333333333333333
rhair_final_step_mae,selection,mpc_co2_mae,0.3394736045615002,0.06328184200331548,0.5294117647058824,63,119,False,False,0.0
rhair_final_step_mae,selection,mpc_objective,0.0720456351373082,-0.014716707442631503,0.48739495798319327,58,119,True,True,0.3333333333333333
rhair_control_horizon_abs_bias,selection,mpc_tair_mae,0.0694819514531766,0.07647058823529412,0.5166666666666667,62,120,False,False,0.0
rhair_control_horizon_abs_bias,selection,mpc_rhair_mae,0.07620238545265796,0.09411764705882353,0.5416666666666666,65,120,False,False,0.3333333333333333
rhair_control_horizon_abs_bias,selection,mpc_co2_mae,0.4284917726616397,0.31764705882352945,0.5916666666666667,71,120,False,True,0.3333333333333333
rhair_control_horizon_abs_bias,selection,mpc_objective,0.026780409563708432,0.0588235294117647,0.525,63,120,False,False,0.3333333333333333
rhair_constraint_near_mae_proxy,selection,mpc_tair_mae,-0.511288181352188,-0.5264705882352941,0.30833333333333335,37,120,False,False,0.0
rhair_constraint_near_mae_proxy,selection,mpc_rhair_mae,0.1906293575359244,0.03823529411764706,0.5333333333333333,64,120,False,False,0.0
rhair_constraint_near_mae_proxy,selection,mpc_co2_mae,0.3981414844603063,0.13823529411764704,0.55,66,120,False,False,0.3333333333333333
rhair_constraint_near_mae_proxy,selection,mpc_objective,-0.08887818767834457,-0.1411764705882353,0.4666666666666667,56,120,False,False,0.0
co2_first_step_mae,selection,mpc_tair_mae,0.0839798549718427,0.17660048931157807,0.5546218487394958,66,119,False,False,0.0
co2_first_step_mae,selection,mpc_rhair_mae,0.5922492819233209,0.38116272276415597,0.6386554621848739,76,119,False,False,0.3333333333333333
co2_first_step_mae,selection,mpc_co2_mae,0.10917956259174619,0.36350267383299817,0.6134453781512605,73,119,False,False,0.6666666666666666
co2_first_step_mae,selection,mpc_objective,0.6064518722093982,0.4562179307215766,0.6554621848739496,78,119,False,False,0.0
co2_control_horizon_mae,selection,mpc_tair_mae,0.2019835379711719,0.18248717228863065,0.5714285714285714,68,119,False,False,0.3333333333333333
co2_control_horizon_mae,selection,mpc_rhair_mae,0.5710627735867554,0.32523923448215625,0.6218487394957983,74,119,False,False,0.0
co2_control_horizon_mae,selection,mpc_co2_mae,0.1324938538050969,0.2604857217345777,0.5966386554621849,71,119,False,False,0.6666666666666666
co2_control_horizon_mae,selection,mpc_objective,0.6043853222557808,0.3767477105313665,0.6218487394957983,74,119,False,False,0.3333333333333333
co2_weighted_horizon_mae,selection,mpc_tair_mae,0.39281868476223714,0.3294117647058824,0.6083333333333333,73,120,False,True,0.6666666666666666
co2_weighted_horizon_mae,selection,mpc_rhair_mae,0.5617906179937258,0.3764705882352941,0.65,78,120,False,True,0.3333333333333333
co2_weighted_horizon_mae,selection,mpc_co2_mae,0.1535388640030791,0.1764705882352941,0.55,66,120,False,False,0.3333333333333333
co2_weighted_horizon_mae,selection,mpc_objective,0.5900819753124992,0.4794117647058824,0.6833333333333333,82,120,False,True,0.6666666666666666
co2_full_horizon_mae,selection,mpc_tair_mae,0.43889776516132967,0.3558823529411765,0.6333333333333333,76,120,False,True,0.6666666666666666
co2_full_horizon_mae,selection,mpc_rhair_mae,0.5516343805046058,0.3764705882352941,0.6416666666666667,77,120,False,True,0.6666666666666666
co2_full_horizon_mae,selection,mpc_co2_mae,0.13445337442791117,0.18823529411764706,0.5416666666666666,65,120,False,False,0.0
co2_full_horizon_mae,selection,mpc_objective,0.5791666541388973,0.4823529411764706,0.675,81,120,False,True,0.6666666666666666
co2_final_step_mae,selection,mpc_tair_mae,0.23790085341099862,0.2352941176470588,0.5916666666666667,71,120,False,False,0.3333333333333333
co2_final_step_mae,selection,mpc_rhair_mae,0.2361180655394913,0.22352941176470587,0.5833333333333334,70,120,False,False,0.0
co2_final_step_mae,selection,mpc_co2_mae,-0.1146377816796216,0.0411764705882353,0.5,60,120,False,False,0.3333333333333333
co2_final_step_mae,selection,mpc_objective,0.1661954364452194,0.2823529411764706,0.6,72,120,False,False,0.3333333333333333
co2_control_horizon_abs_bias,selection,mpc_tair_mae,0.1282763294095404,0.0588235294117647,0.525,63,120,False,False,0.3333333333333333
