start_idx,predictor,objective_mean,objective_rank,co2_mae,co2_rank,tair_mae,rhair_mae
0,dlinear_forecaster,0.39618113019969314,15,37.82425308227539,15,3.4360313415527344,6.458637237548828
0,nlinear_forecaster,0.15259951422922313,9,25.23583221435547,12,1.8669614791870117,4.1818389892578125
0,gru_forecaster,0.11080943637837966,7,49.973052978515625,16,0.4088970124721527,4.957244396209717
0,lstm_forecaster,0.17795458166316772,11,23.013992309570312,11,1.491366982460022,4.4974141120910645
0,segrnn_forecaster,0.04863006016239524,2,14.4247407913208,6,0.3909415006637573,2.194520950317383
0,frequency_forecaster,0.43380489355574053,16,15.529648780822754,7,1.7248512506484985,8.758808135986328
0,transformer_forecaster,0.08605647851557781,5,16.447629928588867,8,1.0385926961898804,4.072226524353027
0,current_hybrid_transformer,0.04422044237920394,1,18.81209373474121,10,0.3615049421787262,1.206396222114563
0,transformer_hybrid_residual,0.10597859305562451,6,18.350873947143555,9,1.668792724609375,4.593311786651611
0,patchtst_residual,0.2628365657098281,13,36.01357650756836,14,3.088890314102173,7.961357116699219
0,itransformer_residual,0.19244779120587432,12,11.531888008117676,5,2.2164032459259033,5.675436496734619
0,itransformer_co2_residual,0.05577063783615207,3,6.3038153648376465,1,0.9393470287322998,1.4974244832992554
0,itransformer_co2_late_residual,0.07050508935935795,4,10.124994277954102,4,1.1533123254776,1.6179925203323364
0,itransformer_co2_late_frozen_expert,0.15382690029218793,10,6.44212532043457,2,2.2016470432281494,4.301968097686768
0,itransformer_co2_horizon_mixture,0.37336348080619547,14,29.379623413085938,13,3.3290059566497803,5.667673587799072
0,itransformer_co2_control_aware_fusion,0.15054737417570627,8,6.622757434844971,3,2.217211961746216,4.261056900024414
96,dlinear_forecaster,0.09774145972914994,8,16.177457809448242,2,1.0181900262832642,2.195167064666748
96,nlinear_forecaster,0.09584592587392156,7,18.771705627441406,5,1.0252386331558228,2.6947338581085205
96,gru_forecaster,0.10945487612237532,11,63.23391342163086,16,0.7067561149597168,5.86694860458374
96,lstm_forecaster,0.16536370507674292,14,43.07431411743164,15,1.5389676094055176,9.494154930114746
96,segrnn_forecaster,0.07382802110320578,5,16.885677337646484,3,0.3395766317844391,3.2094478607177734
96,frequency_forecaster,0.39638610257922363,16,31.74956703186035,12,1.1582006216049194,6.495424747467041
96,transformer_forecaster,0.05890336784068495,2,23.675521850585938,7,0.30580297112464905,1.898558259010315
96,current_hybrid_transformer,0.0517007671102571,1,24.360013961791992,8,0.5254873633384705,1.4861875772476196
96,transformer_hybrid_residual,0.06658828501046325,3,23.098093032836914,6,0.8733286261558533,1.9875036478042603
96,patchtst_residual,0.0951984046259895,6,30.907594680786133,11,0.8508591055870056,2.5981740951538086
96,itransformer_residual,0.16661961621139199,15,18.051841735839844,4,2.392040491104126,4.198577404022217
96,itransformer_co2_residual,0.06825197907164693,4,11.311466217041016,1,0.6357403993606567,0.88399738073349
96,itransformer_co2_late_residual,0.10074781948545326,9,36.86555862426758,13,1.1352779865264893,1.230023741722107
96,itransformer_co2_late_frozen_expert,0.11325421830406412,12,25.36639404296875,9,1.1217082738876343,1.282185435295105
96,itransformer_co2_horizon_mixture,0.12341030217551936,13,41.01234436035156,14,1.3049792051315308,1.712882161140442
96,itransformer_co2_control_aware_fusion,0.10721564873044069,10,26.15350914001465,10,1.0718227624893188,1.179421067237854
192,dlinear_forecaster,0.04492917832491609,6,11.316402435302734,2,0.26051613688468933,2.0098321437835693
192,nlinear_forecaster,0.045233746272667,7,23.84612464904785,8,0.51045161485672,2.0770275592803955
192,gru_forecaster,0.12766503020732975,16,176.33636474609375,16,0.48949775099754333,4.0568318367004395
192,lstm_forecaster,0.03299527644412592,2,39.63399124145508,11,0.3964066505432129,2.4338033199310303
192,segrnn_forecaster,0.11640529478124033,15,111.29247283935547,15,0.672799289226532,5.178913593292236
192,frequency_forecaster,0.07501921088745196,13,12.0407133102417,4,0.34309908747673035,2.1398932933807373
192,transformer_forecaster,0.038943663297686726,4,31.788467407226562,10,0.0729224681854248,1.4363077878952026
192,current_hybrid_transformer,0.042826838024969525,5,49.0842170715332,13,0.5428085327148438,0.966888427734375
192,transformer_hybrid_residual,0.02344094110109533,1,20.698270797729492,7,0.12871809303760529,0.5463650822639465
192,patchtst_residual,0.06120661009723941,10,57.06890869140625,14,0.29615524411201477,1.2114018201828003
192,itransformer_residual,0.03596895172571143,3,11.644330024719238,3,0.1891234666109085,1.3165264129638672
192,itransformer_co2_residual,0.0464682635695984,8,10.700488090515137,1,0.3525080680847168,1.5947866439819336
192,itransformer_co2_late_residual,0.11574908881448209,14,47.74226760864258,12,0.24258925020694733,1.2687453031539917
192,itransformer_co2_late_frozen_expert,0.061599476563666634,11,20.48285675048828,6,0.12031552940607071,2.397282361984253
192,itransformer_co2_horizon_mixture,0.06780891799523185,12,26.26959228515625,9,0.2285432666540146,0.5557050108909607
192,itransformer_co2_control_aware_fusion,0.06057415945300212,9,20.160802841186523,5,0.12625785171985626,2.3715269565582275
288,dlinear_forecaster,0.4286734083628592,14,30.560470581054688,14,3.353947639465332,6.3434271812438965
288,nlinear_forecaster,0.24090671201702207,12,29.14579200744629,13,2.4473960399627686,4.723425388336182
288,gru_forecaster,0.0892175887323295,3,58.76368713378906,16,0.4145423471927643,3.2128303050994873
288,lstm_forecaster,0.22337436464537555,11,32.28441619873047,15,1.9840431213378906,3.5348098278045654
288,segrnn_forecaster,0.06673128695304816,2,17.81511878967285,7,0.3962966501712799,2.4594013690948486
