metric,control_target,role,full_spearman,full_pairwise_consistency,leave_one_model_spearman_min,leave_one_model_spearman_mean,leave_one_model_spearman_max,leave_one_model_pairwise_min,leave_one_model_pairwise_mean,leave_one_model_pairwise_max,leave_one_family_spearman_min,leave_one_family_spearman_mean,leave_one_family_spearman_max,leave_one_family_pairwise_min,leave_one_family_pairwise_mean,leave_one_family_pairwise_max
tair_first_step_mae,mpc_tair_mae,weak_selection,0.35757575757575755,0.6,0.18333333333333335,0.3516666666666667,0.65,0.5277777777777778,0.6,0.6944444444444444,0.18333333333333335,0.35185185185185186,0.6666666666666669,0.5277777777777778,0.6009700176366843,0.7142857142857143
tair_first_step_mae,mpc_rhair_mae,secondary_selection,0.4666666666666666,0.6666666666666666,0.31666666666666665,0.4616666666666667,0.5666666666666667,0.6111111111111112,0.6666666666666667,0.7222222222222222,0.31666666666666665,0.46640211640211643,0.5666666666666667,0.6111111111111112,0.6688712522045857,0.7222222222222222
tair_first_step_mae,mpc_co2_mae,offline_or_diagnostic_only,-0.17575757575757575,0.4,-0.48333333333333334,-0.1766666666666667,0.08333333333333334,0.2777777777777778,0.4,0.4722222222222222,-0.48333333333333334,-0.17354497354497356,0.08333333333333334,0.2777777777777778,0.4012345679012345,0.5
tair_first_step_mae,mpc_objective,weak_selection,0.309090909090909,0.5777777777777777,0.09999999999999999,0.3033333333333333,0.5499999999999999,0.5,0.5777777777777778,0.6666666666666666,0.09999999999999999,0.30502645502645503,0.5952380952380953,0.5,0.5784832451499118,0.6785714285714286
tair_control_horizon_mae,mpc_tair_mae,offline_or_diagnostic_only,0.21884599572482327,0.5681818181818182,-0.00836827408755723,0.2156778506319436,0.42678197846541877,0.4857142857142857,0.568095238095238,0.6285714285714286,-0.00836827408755723,0.2147492100301752,0.3952166664313755,0.4857142857142857,0.5678424456202235,0.6296296296296297
tair_control_horizon_mae,mpc_rhair_mae,secondary_selection,0.6565379871744699,0.75,0.5272012675161055,0.6504507430393015,0.7615129419677079,0.6857142857142857,0.7498412698412699,0.8,0.5272012675161055,0.6532665608862036,0.7615129419677079,0.6857142857142857,0.7522633744855968,0.8148148148148148
tair_control_horizon_mae,mpc_co2_mae,offline_or_diagnostic_only,-0.24316221747202585,0.38636363636363635,-0.5774109120414489,-0.2425262092205745,-0.00836827408755723,0.2571428571428571,0.3861904761904762,0.45714285714285713,-0.5774109120414489,-0.2431996579070762,-0.00836827408755723,0.2571428571428571,0.38641975308641974,0.45714285714285713
tair_control_horizon_mae,mpc_objective,objective_secondary_selection,0.4012176588288426,0.6590909090909091,0.22594340036404525,0.3979804390254852,0.6443571047419068,0.6,0.6590476190476191,0.7428571428571429,0.22594340036404525,0.39903469737089825,0.6826469692905576,0.6,0.6599647266313933,0.7777777777777778
tair_weighted_horizon_mae,mpc_tair_mae,secondary_selection,0.5757575757575757,0.7111111111111111,0.48333333333333334,0.5700000000000001,0.7166666666666667,0.6666666666666666,0.7111111111111111,0.75,0.48333333333333334,0.5738095238095239,0.7142857142857144,0.6666666666666666,0.712962962962963,0.75
tair_weighted_horizon_mae,mpc_rhair_mae,secondary_selection,0.4666666666666666,0.6444444444444445,0.26666666666666666,0.45999999999999996,0.5833333333333334,0.5555555555555556,0.6444444444444445,0.6944444444444444,0.26666666666666666,0.4563492063492063,0.5833333333333334,0.5555555555555556,0.6432980599647267,0.6944444444444444
tair_weighted_horizon_mae,mpc_co2_mae,weak_selection,0.29696969696969694,0.6,0.16666666666666669,0.29333333333333333,0.6666666666666667,0.5277777777777778,0.6000000000000001,0.7222222222222222,0.09523809523809526,0.2920634920634921,0.6666666666666667,0.5277777777777778,0.599647266313933,0.7222222222222222
tair_weighted_horizon_mae,mpc_objective,objective_secondary_selection,0.5030303030303029,0.6888888888888889,0.3666666666666667,0.49833333333333335,0.7166666666666667,0.6388888888888888,0.6888888888888889,0.7777777777777778,0.3666666666666667,0.4992063492063493,0.7166666666666667,0.6388888888888888,0.6887125220458555,0.7777777777777778
tair_full_horizon_mae,mpc_tair_mae,secondary_selection,0.5636363636363636,0.6888888888888889,0.4666666666666666,0.5566666666666666,0.7,0.6388888888888888,0.6888888888888889,0.7222222222222222,0.4666666666666666,0.5600529100529101,0.6904761904761906,0.6388888888888888,0.6904761904761904,0.7222222222222222
tair_full_horizon_mae,mpc_rhair_mae,secondary_selection,0.4787878787878787,0.6666666666666666,0.2833333333333333,0.47333333333333333,0.5833333333333334,0.5833333333333334,0.6666666666666667,0.7222222222222222,0.2833333333333333,0.47010582010582014,0.5833333333333334,0.5833333333333334,0.6657848324514991,0.7222222222222222
tair_full_horizon_mae,mpc_co2_mae,weak_selection,0.309090909090909,0.6222222222222222,0.18333333333333335,0.30666666666666664,0.6833333333333333,0.5555555555555556,0.6222222222222223,0.75,0.11904761904761905,0.3058201058201058,0.6833333333333333,0.5555555555555556,0.6221340388007055,0.75
tair_full_horizon_mae,mpc_objective,objective_secondary_selection,0.5151515151515151,0.7111111111111111,0.38333333333333336,0.5116666666666666,0.7333333333333334,0.6666666666666666,0.711111111111111,0.8055555555555556,0.38333333333333336,0.5129629629629631,0.7333333333333334,0.6666666666666666,0.7111992945326279,0.8055555555555556
tair_final_step_mae,mpc_tair_mae,secondary_selection,0.3696969696969697,0.6444444444444445,0.19999999999999998,0.36666666666666664,0.5166666666666667,0.5833333333333334,0.6444444444444444,0.7222222222222222,0.19999999999999998,0.37195767195767204,0.5476190476190477,0.5833333333333334,0.646384479717813,0.7222222222222222
tair_final_step_mae,mpc_rhair_mae,primary_selection,0.6727272727272726,0.7555555555555555,0.5666666666666667,0.6666666666666666,0.8333333333333333,0.7222222222222222,0.7555555555555555,0.8333333333333334,0.5666666666666667,0.6621693121693121,0.8333333333333333,0.7222222222222222,0.7530864197530864,0.8333333333333334
tair_final_step_mae,mpc_co2_mae,offline_or_diagnostic_only,0.12727272727272726,0.5777777777777777,-0.06666666666666667,0.12833333333333335,0.43333333333333335,0.5,0.5777777777777777,0.6944444444444444,-0.06666666666666667,0.1306878306878307,0.43333333333333335,0.5,0.578042328042328,0.6944444444444444
tair_final_step_mae,mpc_objective,weak_selection,0.3696969696969697,0.6222222222222222,0.13333333333333333,0.36500000000000005,0.5166666666666667,0.5277777777777778,0.6222222222222221,0.6944444444444444,0.13333333333333333,0.3698412698412698,0.5166666666666667,0.5277777777777778,0.6238977072310404,0.6944444444444444
tair_control_horizon_abs_bias,mpc_tair_mae,offline_or_diagnostic_only,-0.19999999999999998,0.4,-0.5833333333333334,-0.2,-0.03333333333333333,0.2777777777777778,0.4,0.4722222222222222,-0.5833333333333334,-0.19365079365079366,0.023809523809523815,0.2777777777777778,0.4034391534391534,0.4722222222222222
tair_control_horizon_abs_bias,mpc_rhair_mae,secondary_selection,0.7212121212121211,0.7333333333333333,0.65,0.7116666666666667,0.7999999999999999,0.6944444444444444,0.7333333333333334,0.7777777777777778,0.65,0.7071428571428572,0.7999999999999999,0.6944444444444444,0.7314814814814815,0.7777777777777778
tair_control_horizon_abs_bias,mpc_co2_mae,offline_or_diagnostic_only,-0.19999999999999998,0.37777777777777777,-0.5166666666666667,-0.20166666666666666,-0.016666666666666666,0.25,0.37777777777777777,0.4444444444444444,-0.5166666666666667,-0.20105820105820105,-0.016666666666666666,0.25,0.37654320987654327,0.4444444444444444
tair_control_horizon_abs_bias,mpc_objective,objective_secondary_selection,0.3696969696969697,0.6444444444444445,0.18333333333333335,0.36666666666666664,0.5166666666666667,0.5833333333333334,0.6444444444444445,0.6944444444444444,0.18333333333333335,0.37089947089947084,0.5166666666666667,0.5833333333333334,0.6455026455026455,0.6944444444444444
tair_constraint_near_mae_proxy,mpc_tair_mae,weak_selection,0.2796365500928297,0.5909090909090909,0.07531446678801507,0.27583158995052875,0.41004543029030427,0.5142857142857142,0.5906349206349205,0.6388888888888888,0.07531446678801507,0.2829341826149907,0.4910267673844361,0.5142857142857142,0.5928865373309817,0.6388888888888888
tair_constraint_near_mae_proxy,mpc_rhair_mae,secondary_selection,0.5227987675648555,0.6818181818181818,0.39330888211518983,0.5167400495603501,0.6945667492672501,0.6285714285714286,0.681904761904762,0.7428571428571429,0.39330888211518983,0.5123600783354307,0.6945667492672501,0.6285714285714286,0.6793650793650793,0.7428571428571429
tair_constraint_near_mae_proxy,mpc_co2_mae,offline_or_diagnostic_only,0.12158110873601292,0.5454545454545454,-0.10878756313824399,0.12033543124054942,0.41004543029030427,0.45714285714285713,0.5452380952380953,0.6571428571428571,-0.1077863635721933,0.11987015562868736,0.41004543029030427,0.4444444444444444,0.5440917107583774,0.6571428571428571
tair_constraint_near_mae_proxy,mpc_objective,offline_or_diagnostic_only,0.1702135522304181,0.5454545454545454,-0.09205101496312953,0.16721174243255948,0.4769916229907622,0.45714285714285713,0.5453968253968253,0.6571428571428571,-0.09205101496312953,0.1720221002679678,0.4769916229907622,0.45714285714285713,0.5470899470899471,0.6571428571428571
rhair_first_step_mae,mpc_tair_mae,offline_or_diagnostic_only,-0.2606060606060606,0.37777777777777777,-0.5499999999999999,-0.26,-0.09999999999999999,0.2777777777777778,0.37777777777777777,0.4444444444444444,-0.5499999999999999,-0.2616402116402117,-0.09999999999999999,0.2777777777777778,0.3769841269841269,0.4444444444444444
rhair_first_step_mae,mpc_rhair_mae,offline_or_diagnostic_only,0.09090909090909088,0.5777777777777777,-0.11666666666666665,0.09333333333333334,0.39999999999999997,0.5,0.5777777777777778,0.6944444444444444,-0.11666666666666665,0.09444444444444444,0.39999999999999997,0.5,0.578042328042328,0.6944444444444444
rhair_first_step_mae,mpc_co2_mae,offline_or_diagnostic_only,-0.6363636363636362,0.26666666666666666,-0.7999999999999999,-0.63,-0.5333333333333333,0.19444444444444445,0.2666666666666667,0.3055555555555556,-0.7999999999999999,-0.6317460317460317,-0.5333333333333333,0.19444444444444445,0.26543209876543206,0.3055555555555556
