metric,metric_kind,control_target,pearson,spearman,pairwise_consistency,pairwise_agree,pairwise_total,top1_hits_best,top3_hits_best,top3_overlap_fraction
tair_first_step_mae,selection,mpc_tair_mae,0.22529769863276566,0.3323529411764706,0.6083333333333333,73,120,False,False,0.0
tair_first_step_mae,selection,mpc_rhair_mae,0.2570291641664384,0.34705882352941175,0.625,75,120,False,True,0.6666666666666666
tair_first_step_mae,selection,mpc_co2_mae,-0.07426538631811153,-0.023529411764705882,0.4666666666666667,56,120,False,False,0.0
tair_first_step_mae,selection,mpc_objective,0.2080396663604088,0.1764705882352941,0.55,66,120,False,True,0.3333333333333333
tair_control_horizon_mae,selection,mpc_tair_mae,0.2616303013091366,0.21339225791815683,0.5546218487394958,66,119,False,False,0.0
tair_control_horizon_mae,selection,mpc_rhair_mae,0.3306793974518664,0.4459162355117346,0.680672268907563,81,119,True,True,0.3333333333333333
tair_control_horizon_mae,selection,mpc_co2_mae,0.005583712883046734,0.042678451583631365,0.5210084033613446,62,119,False,False,0.3333333333333333
tair_control_horizon_mae,selection,mpc_objective,0.2617733970069103,0.244297343547683,0.5882352941176471,70,119,False,False,0.3333333333333333
tair_weighted_horizon_mae,selection,mpc_tair_mae,0.38108613823856186,0.38823529411764707,0.6166666666666667,74,120,False,False,0.0
tair_weighted_horizon_mae,selection,mpc_rhair_mae,0.5130098365235988,0.3941176470588235,0.65,78,120,True,True,0.3333333333333333
tair_weighted_horizon_mae,selection,mpc_co2_mae,0.22715484640913622,0.28823529411764703,0.5916666666666667,71,120,False,False,0.3333333333333333
tair_weighted_horizon_mae,selection,mpc_objective,0.38885439326794197,0.2441176470588235,0.5916666666666667,71,120,False,False,0.3333333333333333
tair_full_horizon_mae,selection,mpc_tair_mae,0.3916929963798837,0.4088235294117647,0.6166666666666667,74,120,False,False,0.0
tair_full_horizon_mae,selection,mpc_rhair_mae,0.5288146985286049,0.4294117647058823,0.6666666666666666,80,120,True,True,0.6666666666666666
tair_full_horizon_mae,selection,mpc_co2_mae,0.24914982112102177,0.2823529411764706,0.5916666666666667,71,120,False,False,0.3333333333333333
tair_full_horizon_mae,selection,mpc_objective,0.3998742121340969,0.27058823529411763,0.6083333333333333,73,120,False,True,0.6666666666666666
tair_final_step_mae,selection,mpc_tair_mae,0.4042575444552055,0.16764705882352943,0.5666666666666667,68,120,False,False,0.0
tair_final_step_mae,selection,mpc_rhair_mae,0.5728201645662211,0.6147058823529412,0.75,90,120,False,True,0.6666666666666666
tair_final_step_mae,selection,mpc_co2_mae,0.30926745981312465,0.049999999999999996,0.525,63,120,False,False,0.0
tair_final_step_mae,selection,mpc_objective,0.4312917482911392,0.2029411764705882,0.575,69,120,False,True,0.3333333333333333
tair_control_horizon_abs_bias,selection,mpc_tair_mae,0.28243658690867407,0.06176470588235294,0.5083333333333333,61,120,False,False,0.0
tair_control_horizon_abs_bias,selection,mpc_rhair_mae,0.5627867754177592,0.5970588235294118,0.6916666666666667,83,120,False,True,0.6666666666666666
tair_control_horizon_abs_bias,selection,mpc_co2_mae,0.10634147346732238,0.0,0.5,60,120,False,False,0.3333333333333333
tair_control_horizon_abs_bias,selection,mpc_objective,0.3339136178272291,0.36176470588235293,0.6333333333333333,76,120,False,False,0.3333333333333333
tair_constraint_near_mae_proxy,selection,mpc_tair_mae,0.3881281691103394,0.15158208665910447,0.5462184873949579,65,119,False,False,0.0
tair_constraint_near_mae_proxy,selection,mpc_rhair_mae,0.6075706866430984,0.28108911215426174,0.5882352941176471,70,119,False,False,0.0
tair_constraint_near_mae_proxy,selection,mpc_co2_mae,0.3556097355555154,0.10154528135415737,0.5294117647058824,63,119,False,True,0.3333333333333333
tair_constraint_near_mae_proxy,selection,mpc_objective,0.4394565211460835,0.23546731908210405,0.5630252100840336,67,119,False,False,0.0
rhair_first_step_mae,selection,mpc_tair_mae,-0.03949074042017747,-0.09705882352941177,0.4666666666666667,56,120,False,False,0.0
rhair_first_step_mae,selection,mpc_rhair_mae,-0.04320143576430945,0.17352941176470588,0.5833333333333334,70,120,False,False,0.6666666666666666
rhair_first_step_mae,selection,mpc_co2_mae,-0.34246326322645315,-0.34705882352941175,0.375,45,120,False,False,0.0
rhair_first_step_mae,selection,mpc_objective,0.11765298700951994,0.3,0.625,75,120,True,True,0.3333333333333333
rhair_control_horizon_mae,selection,mpc_tair_mae,0.0016397593393603447,-0.02941176470588235,0.475,57,120,False,False,0.0
rhair_control_horizon_mae,selection,mpc_rhair_mae,-0.0009159511530801937,0.06176470588235294,0.525,63,120,False,False,0.3333333333333333
rhair_control_horizon_mae,selection,mpc_co2_mae,-0.223643522813996,-0.09117647058823529,0.48333333333333334,58,120,False,False,0.0
rhair_control_horizon_mae,selection,mpc_objective,0.164484109085424,0.3294117647058824,0.6333333333333333,76,120,True,True,0.3333333333333333
rhair_weighted_horizon_mae,selection,mpc_tair_mae,0.21825162128302644,0.32229589299362993,0.6050420168067226,72,119,False,False,0.0
rhair_weighted_horizon_mae,selection,mpc_rhair_mae,0.3001227037320838,0.2781457706657354,0.5966386554621849,71,119,False,False,0.6666666666666666
rhair_weighted_horizon_mae,selection,mpc_co2_mae,0.08686092291097039,0.2104489164296305,0.5714285714285714,68,119,False,False,0.3333333333333333
rhair_weighted_horizon_mae,selection,mpc_objective,0.32192025182985134,0.45033124774452404,0.6554621848739496,78,119,True,True,0.3333333333333333
rhair_full_horizon_mae,selection,mpc_tair_mae,0.24162140731974113,0.3529411764705882,0.625,75,120,False,False,0.0
rhair_full_horizon_mae,selection,mpc_rhair_mae,0.33840128678399606,0.29705882352941176,0.6083333333333333,73,120,False,False,0.6666666666666666
rhair_full_horizon_mae,selection,mpc_co2_mae,0.12126413892813563,0.2588235294117647,0.6,72,120,False,False,0.3333333333333333
rhair_full_horizon_mae,selection,mpc_objective,0.3347362192437171,0.45,0.65,78,120,True,True,0.3333333333333333
rhair_final_step_mae,selection,mpc_tair_mae,0.2717420290144518,0.24282567280341982,0.5798319327731093,69,119,False,False,0.0
rhair_final_step_mae,selection,mpc_rhair_mae,0.47360804651787974,0.4576896014658398,0.6554621848739496,78,119,False,True,1.0
rhair_final_step_mae,selection,mpc_co2_mae,0.1961480784605575,0.09271525688857848,0.5126050420168067,61,119,False,False,0.0
rhair_final_step_mae,selection,mpc_objective,0.33406948402778525,0.3208242222493668,0.6134453781512605,73,119,False,True,0.3333333333333333
rhair_control_horizon_abs_bias,selection,mpc_tair_mae,-0.4637278667963514,-0.5058823529411764,0.325,39,120,False,False,0.0
rhair_control_horizon_abs_bias,selection,mpc_rhair_mae,-0.20248919223627418,-0.25588235294117645,0.4083333333333333,49,120,False,False,0.0
rhair_control_horizon_abs_bias,selection,mpc_co2_mae,0.18367212531519403,0.4794117647058824,0.6666666666666666,80,120,False,True,0.3333333333333333
rhair_control_horizon_abs_bias,selection,mpc_objective,0.1217055704210693,0.2441176470588235,0.5833333333333334,70,120,False,False,0.0
rhair_constraint_near_mae_proxy,selection,mpc_tair_mae,0.37397515684078775,0.31764705882352945,0.6166666666666667,74,120,False,False,0.3333333333333333
rhair_constraint_near_mae_proxy,selection,mpc_rhair_mae,0.3024690584621246,0.19999999999999998,0.5833333333333334,70,120,True,True,0.3333333333333333
rhair_constraint_near_mae_proxy,selection,mpc_co2_mae,0.2990289876395792,0.34411764705882353,0.625,75,120,False,False,0.3333333333333333
rhair_constraint_near_mae_proxy,selection,mpc_objective,0.3308938005747429,0.25588235294117645,0.575,69,120,False,False,0.0
co2_first_step_mae,selection,mpc_tair_mae,0.18222347700514227,0.2104489164296305,0.5966386554621849,71,119,False,False,0.6666666666666666
co2_first_step_mae,selection,mpc_rhair_mae,0.09387249306591532,-0.1309786962394204,0.47058823529411764,56,119,False,False,0.0
co2_first_step_mae,selection,mpc_co2_mae,-0.3031940950200122,-0.24282567280341982,0.4117647058823529,49,119,False,False,0.0
co2_first_step_mae,selection,mpc_objective,-0.07529400430472408,-0.16777046484599917,0.4789915966386555,57,119,False,False,0.0
co2_control_horizon_mae,selection,mpc_tair_mae,0.11991339435536101,0.19573220898699903,0.5882352941176471,70,119,False,False,0.6666666666666666
co2_control_horizon_mae,selection,mpc_rhair_mae,-0.03067333359143307,-0.166298794101736,0.4957983193277311,59,119,False,False,0.0
co2_control_horizon_mae,selection,mpc_co2_mae,-0.38239039787747153,-0.35761599085594553,0.35294117647058826,42,119,False,False,0.0
co2_control_horizon_mae,selection,mpc_objective,-0.16521752308640014,-0.23546731908210405,0.4369747899159664,52,119,False,False,0.0
co2_weighted_horizon_mae,selection,mpc_tair_mae,0.07250728154930648,0.0823529411764706,0.5416666666666666,65,120,False,False,0.3333333333333333
co2_weighted_horizon_mae,selection,mpc_rhair_mae,-0.0531289908960066,0.12352941176470587,0.6083333333333333,73,120,False,False,0.3333333333333333
co2_weighted_horizon_mae,selection,mpc_co2_mae,-0.41775549156934394,-0.4852941176470588,0.3333333333333333,40,120,False,False,0.0
co2_weighted_horizon_mae,selection,mpc_objective,-0.20677707417801927,-0.19117647058823528,0.45,54,120,False,False,0.0
co2_full_horizon_mae,selection,mpc_tair_mae,0.061796104013896,0.13529411764705881,0.55,66,120,False,False,0.0
co2_full_horizon_mae,selection,mpc_rhair_mae,-0.05297781456851958,0.16764705882352943,0.6166666666666667,74,120,False,False,0.3333333333333333
co2_full_horizon_mae,selection,mpc_co2_mae,-0.4229118119435621,-0.4294117647058823,0.35833333333333334,43,120,False,False,0.0
co2_full_horizon_mae,selection,mpc_objective,-0.206345148401294,-0.10294117647058824,0.475,57,120,False,False,0.0
co2_final_step_mae,selection,mpc_tair_mae,0.07189525660546166,0.12058823529411765,0.5666666666666667,68,120,False,False,0.3333333333333333
co2_final_step_mae,selection,mpc_rhair_mae,0.026029020926155413,0.25588235294117645,0.6333333333333333,76,120,False,True,0.3333333333333333
co2_final_step_mae,selection,mpc_co2_mae,-0.26523314435066553,-0.22941176470588234,0.425,51,120,False,False,0.0
