profile,resource_weight,predictor,starts,objective_mean_mean,objective_mean_std,tair_mae_mean,tair_mae_std,rhair_mae_mean,rhair_mae_std,co2_mae_mean,co2_mae_std,estimated_heat_mj_m2_mean,estimated_heat_mj_m2_std,estimated_electricity_kwh_m2_mean,estimated_electricity_kwh_m2_std,estimated_co2_kg_m2_mean,estimated_co2_kg_m2_std,estimated_irrigation_l_m2_mean,estimated_irrigation_l_m2_std,estimated_total_resource_cost_eur_m2_mean,estimated_total_resource_cost_eur_m2_std
real_resource_w000,0.0,current_hybrid_transformer,"0,96,192,288,384",0.06599741497969565,0.02661720928205477,0.56558957695961,0.16421350913634508,1.7093170046806336,0.8537653582004743,29.47155342102051,10.545648904959586,0.28339312602287026,0.08242303370916997,0.11541242366634356,0.07568981449829068,0.027080717806814997,0.013773438390655543,2.161884991618068,0.648047056869348,0.012673144038636671,0.006348403063650859
real_resource_w000,0.0,itransformer_co2_residual,"0,96,192,288,384",0.06954444149547877,0.02351384773863524,0.6392894327640534,0.21393012349197715,1.357521402835846,0.3997956244912806,10.167990970611573,2.008890800834427,0.043917642201190876,0.0458681618099625,0.10524581731390854,0.08793307193592885,0.026476617890179514,0.01232899827454067,2.00836695368206,0.5886989183513687,0.00936306876502426,0.005905808397661743
real_resource_w005,0.05,current_hybrid_transformer,"0,96,192,288,384",0.08414498500060288,0.027200518776222073,0.5859231591224671,0.16195727343153757,1.6616117119789124,0.8503248552394064,29.92860641479492,10.147679004116322,0.23497944429245843,0.10666114664125444,0.09842686379059327,0.08579541974300507,0.02692764063799493,0.01363914329113708,2.1238388143327542,0.6845899923637788,0.011413299638904773,0.007730337455290969
real_resource_w005,0.05,itransformer_co2_residual,"0,96,192,288,384",0.08789536087618519,0.03017600248740079,0.6517873883247376,0.19089068905646112,1.4533954858779907,0.6041881429073024,10.979503536224366,2.133671989605075,0.04070897303936641,0.045782561592210655,0.0935076627395038,0.0823418749030415,0.026171445331201127,0.0122614821247888,2.001739729509891,0.5747828639517361,0.008472199762342295,0.0054190579732157785
