profile,predictor,resource_weight,start_idx,steps,segment_start_timestamp,segment_end_timestamp,objective_mean,tair_mae,rhair_mae,co2_mae,estimated_heat_mj_m2,estimated_electricity_kwh_m2,estimated_co2_kg_m2,estimated_irrigation_l_m2,estimated_heat_cost_eur_m2,estimated_electricity_cost_eur_m2,estimated_co2_cost_eur_m2,estimated_total_resource_cost_eur_m2,trace_path,cost_change_vs_w000_pct,co2_mae_change_vs_w000_pct,objective_change_vs_w000_pct
full_period_anchored_w000,current_hybrid_transformer,0.0,0,24,2020-05-06T06:25:00.000000000,2020-05-06T08:20:00.000000000,0.03656044757614533,0.32846131920814514,0.503646194934845,10.96440601348877,0.11871630238526013,0.006275160114973012,0.0026639003545380247,0.24824135230880096,0.000985345309797659,0.00042880260785648915,0.00021311202836304198,0.0016272599460171902,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_full_period_anchored_w000_anchored_start00000_24steps_trace.json,0.0,0.0,0.0
full_period_anchored_w000,current_hybrid_transformer,0.0,24,24,2020-05-06T08:25:00.000000000,2020-05-06T10:20:00.000000000,0.05827152170240879,0.37351107597351074,1.9336481094360352,24.345108032226562,0.10139691417349862,0.008564655811146524,0.00717585036271673,0.5107973156299545,0.0008415943876400385,0.000685172464891722,0.0005740680290173384,0.002100834881549099,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_full_period_anchored_w000_anchored_start00024_24steps_trace.json,0.0,0.0,0.0
full_period_anchored_w000,itransformer_co2_residual,0.0,0,24,2020-05-06T06:25:00.000000000,2020-05-06T08:20:00.000000000,0.024423467538629968,0.13579058647155762,1.0024633407592773,2.93841552734375,0.12167446231889015,0.006312798561060169,0.0027984583314889875,0.2533827969737593,0.0010098980372467883,0.00043137456833911155,0.000223876666519119,0.001665149272105019,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_full_period_anchored_w000_anchored_start00000_24steps_trace.json,0.0,0.0,0.0
full_period_anchored_w000,itransformer_co2_residual,0.0,24,24,2020-05-06T08:25:00.000000000,2020-05-06T10:20:00.000000000,0.05247710505500436,0.22836709022521973,0.6144326329231262,2.8523712158203125,0.05810022139546919,0.004719905881717517,0.007030604709327188,0.504197521825344,0.0004822318375823943,0.00037759247053740136,0.0005624483767461751,0.0014222726848659708,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_full_period_anchored_w000_anchored_start00024_24steps_trace.json,0.0,0.0,0.0
full_period_anchored_w050,current_hybrid_transformer,0.05,0,24,2020-05-06T06:25:00.000000000,2020-05-06T08:20:00.000000000,0.05684850194181005,0.3324298858642578,0.7265389561653137,11.294238090515137,0.11143319877651148,0.003931284348772269,0.0025409877568826796,0.24080441618917064,0.0009248955498450453,0.00026863776383277173,0.00020327902055061438,0.0013968123342284313,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_full_period_anchored_w050_anchored_start00000_24steps_trace.json,-14.161696313658572,3.0082074361401525,55.49181071541944
full_period_anchored_w050,current_hybrid_transformer,0.05,24,24,2020-05-06T08:25:00.000000000,2020-05-06T10:20:00.000000000,0.07894678103427093,0.42381176352500916,1.862305998802185,24.103609085083008,0.0873197756072643,0.005548386282168677,0.0071697154417255,0.5047618419967561,0.0007247541375402937,0.00044387090257349415,0.00057357723533804,0.001742202275451828,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_full_period_anchored_w050_anchored_start00024_24steps_trace.json,-17.070956372964687,-0.9919814150090162,35.48089826356375
full_period_anchored_w050,itransformer_co2_residual,0.05,0,24,2020-05-06T06:25:00.000000000,2020-05-06T08:20:00.000000000,0.042269827177127205,0.16494949162006378,0.9799668192863464,3.4535980224609375,0.12064450624436641,0.0032445112144124212,0.0027164172763680453,0.24886329069270624,0.0010013494018282412,0.0002217082663181821,0.00021731338210944363,0.001440371050255867,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_full_period_anchored_w050_anchored_start00000_24steps_trace.json,-13.49898328124036,17.532663107824607,73.07054008719324
full_period_anchored_w050,itransformer_co2_residual,0.05,24,24,2020-05-06T08:25:00.000000000,2020-05-06T10:20:00.000000000,0.06880090556417902,0.19383525848388672,0.49827829003334045,2.9386825561523438,0.05437201883269567,0.004032514800519332,0.00690734050930968,0.5016667207712131,0.0004512877563113741,0.0003226011840415466,0.0005525872407447744,0.001326476181097695,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_full_period_anchored_w050_anchored_start00024_24steps_trace.json,-6.735452686929951,3.025950474234084,31.106518722907296
