predictor,resource_weight,profile,segments,total_steps,coverage_start_timestamp,coverage_end_timestamp,objective_mean,tair_mae,rhair_mae,co2_mae,estimated_heat_mj_m2,estimated_electricity_kwh_m2,estimated_co2_kg_m2,estimated_irrigation_l_m2,estimated_heat_cost_eur_m2,estimated_electricity_cost_eur_m2,estimated_co2_cost_eur_m2,estimated_total_resource_cost_eur_m2,cost_change_vs_w000_pct,co2_mae_change_vs_w000_pct,objective_change_vs_w000_pct
current_hybrid_transformer,0.0,full_period_anchored_w000,2,48,2020-05-06T06:25:00.000000000,2020-05-06T10:20:00.000000000,0.047415984639277056,0.35098619759082794,1.21864715218544,17.654757022857666,0.22011321655875876,0.014839815926119536,0.009839750717254755,0.7590386679387554,0.0018269396974376975,0.0011139750727482112,0.0007871800573803803,0.0037280948275662893,0.0,0.0,0.0
current_hybrid_transformer,0.05,full_period_anchored_w050,2,48,2020-05-06T06:25:00.000000000,2020-05-06T10:20:00.000000000,0.06789764148804049,0.3781208246946335,1.2944224774837494,17.698923587799072,0.19875297438377576,0.009479670630940946,0.00971070319860818,0.7455662581859268,0.001649649687385339,0.0007125086664062658,0.0007768562558886544,0.0031390146096802593,-15.801106064423346,0.25016807019334036,43.195679694474684
itransformer_co2_residual,0.0,full_period_anchored_w000,2,48,2020-05-06T06:25:00.000000000,2020-05-06T10:20:00.000000000,0.03845028629681716,0.18207883834838867,0.8084479868412018,2.8953933715820312,0.17977468371435934,0.011032704442777687,0.009829063040816176,0.7575803187991034,0.0014921298748291826,0.000808967038876513,0.0007863250432652941,0.0030874219569709898,0.0,0.0,0.0
itransformer_co2_residual,0.05,full_period_anchored_w050,2,48,2020-05-06T06:25:00.000000000,2020-05-06T10:20:00.000000000,0.05553536637065311,0.17939237505197525,0.7391225546598434,3.1961402893066406,0.17501652507706209,0.0072770260149317536,0.009623757785677724,0.7505300114639193,0.0014526371581396152,0.0005443094503597287,0.000769900622854218,0.002766847231353562,-10.383249522910614,10.387083174134728,44.43420769860488
