profile,resource_weight,predictor,start_idx,steps,objective_mean,tair_mae,rhair_mae,co2_mae,estimated_heat_mj_m2,estimated_electricity_kwh_m2,estimated_co2_kg_m2,estimated_irrigation_l_m2,estimated_heat_cost_eur_m2,estimated_electricity_cost_eur_m2,estimated_co2_cost_eur_m2,estimated_total_resource_cost_eur_m2,trace_path,cost_change_vs_current_hybrid_pct
real_resource_w000,0.0,current_hybrid_transformer,0,96,0.04422049472729365,0.3614930212497711,1.20745050907135,18.809070587158203,0.347655932836314,0.02794055315564426,0.0361915802762435,2.463319106540968,0.0028855442425414065,0.0021537509724142453,0.00289532642209948,0.007934621637055132,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_real_resource_w000_start00000_96steps_trace.json,0.0
real_resource_w000,0.0,itransformer_co2_residual,0,96,0.05572794829883302,0.9383721947669983,1.49579656124115,6.322974681854248,0.023179614736909604,0.0,0.03471845390718507,2.3521255146919735,0.00019239080231634972,0.0,0.002777476312574806,0.002969867114891156,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_real_resource_w000_start00000_96steps_trace.json,-62.570778409625625
real_resource_w000,0.0,current_hybrid_transformer,96,96,0.051700360529745616,0.5263454914093018,1.4802193641662598,24.352182388305664,0.40903853015214114,0.18499870893001194,0.03146487896551531,2.504554304528149,0.0033950198002627714,0.014799896714400955,0.002517190317241225,0.020712106831904952,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_real_resource_w000_start00096_96steps_trace.json,0.0
real_resource_w000,0.0,itransformer_co2_residual,96,96,0.0653947497679231,0.5513609051704407,0.6795384287834167,11.074536323547363,0.0852086269678656,0.14958628497609616,0.030783598757925724,2.1323415442971285,0.0007072316038332845,0.011966902798087693,0.002462687900634058,0.015136822302555036,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_real_resource_w000_start00096_96steps_trace.json,-26.91799812833015
real_resource_w000,0.0,current_hybrid_transformer,192,96,0.0428502141245796,0.5386810898780823,0.9615954756736755,49.13816452026367,0.1927934494532474,0.14136577684003818,0.0,0.8673502222256718,0.0016001856304619533,0.006066947922718306,0.0,0.007667133553180259,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_real_resource_w000_start00192_96steps_trace.json,0.0
real_resource_w000,0.0,itransformer_co2_residual,192,96,0.04646824650505247,0.3525058329105377,1.5947842597961426,10.700886726379395,0.0,0.2075383121221576,0.002086822191177257,0.8459620112056926,0.0,0.008906852561909264,0.00016694577529418058,0.009073798337203445,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_real_resource_w000_start00192_96steps_trace.json,18.34668424993998
real_resource_w000,0.0,current_hybrid_transformer,288,96,0.11255457178534319,0.8656285405158997,3.367321252822876,24.224950790405273,0.25509199228997737,0.02350067023101861,0.03708748161979,2.5328686737609925,0.002117263536006812,0.0018115099969743512,0.0029669985295832004,0.006895772062564364,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_real_resource_w000_start00288_96steps_trace.json,0.0
real_resource_w000,0.0,itransformer_co2_residual,288,96,0.06575883711533,0.8296554684638977,1.1783111095428467,10.53565502166748,0.0,0.0,0.03446791912639001,2.414109767185809,0.0,0.0,0.0027574335301112007,0.0027574335301112007,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_real_resource_w000_start00288_96steps_trace.json,-60.01269321124021
real_resource_w000,0.0,current_hybrid_transformer,384,96,0.0786614337315162,0.5357997417449951,1.5299984216690063,30.833398818969727,0.2123857253826716,0.19925640917500487,0.030659648172526175,2.4413326510345574,0.001762801520676174,0.01594051273400039,0.002452771853802094,0.020156086108478657,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_real_resource_w000_start00384_96steps_trace.json,0.0
real_resource_w000,0.0,itransformer_co2_residual,384,96,0.11437242579025526,0.5245527625083923,1.8391766548156738,12.205902099609375,0.11119996930117917,0.16910448947128898,0.0303262954682195,2.297295931029698,0.0009229597451997872,0.013528359157703118,0.00242610363745756,0.016877422540360464,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_real_resource_w000_start00384_96steps_trace.json,-16.26637012003547
real_resource_w002,0.02,current_hybrid_transformer,0,96,0.05199528636876494,0.3652935028076172,1.1741324663162231,19.15293312072754,0.3607961775781481,0.017939971927053128,0.036008685398739165,2.443102038830795,0.002994608273898629,0.0013828728360436786,0.0028806948318991334,0.007258175941841441,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_real_resource_w002_start00000_96steps_trace.json,0.0
real_resource_w002,0.02,itransformer_co2_residual,0,96,0.061887823860161006,0.9483151435852051,1.50360906124115,6.135171890258789,0.027065376353715438,0.0,0.03452207954926569,2.3487802367099304,0.00022464262373583812,0.0,0.0027617663639412553,0.0029864089876770936,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_real_resource_w002_start00000_96steps_trace.json,-58.85455227860701
real_resource_w002,0.02,current_hybrid_transformer,96,96,0.0624008746429657,0.5610673427581787,1.5031341314315796,25.98908805847168,0.43887275383063906,0.20214392715082052,0.031998303370237804,2.543073021427956,0.0036426438567943044,0.01617151417206564,0.0025598642696190244,0.022374022298478968,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_real_resource_w002_start00096_96steps_trace.json,0.0
real_resource_w002,0.02,itransformer_co2_residual,96,96,0.07986801032287379,0.7495577335357666,1.1889828443527222,11.420619010925293,0.10801352151695451,0.15517856578495579,0.030816111501121752,2.1736890417603796,0.0008965122285907224,0.012414285262796462,0.00246528892008974,0.015776086411476924,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_real_resource_w002_start00096_96steps_trace.json,-29.48927018567683
real_resource_w002,0.02,current_hybrid_transformer,192,96,0.04888049972942099,0.5725009441375732,0.9630870819091797,48.79056930541992,0.18565650367158495,0.10731213818348953,0.0,0.8439130922041498,0.001540948980474155,0.004605479263708093,0.0,0.006146428244182248,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_real_resource_w002_start00192_96steps_trace.json,0.0
real_resource_w002,0.02,itransformer_co2_residual,192,96,0.05405505529294411,0.3538367450237274,1.6632624864578247,10.979493141174316,0.0,0.20180023722848023,0.0019559014748062762,0.8466677049685982,0.0,0.008660593514388944,0.0001564721179845021,0.008817065632373446,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_real_resource_w002_start00192_96steps_trace.json,43.45023291728858
real_resource_w002,0.02,current_hybrid_transformer,288,96,0.12265526212286204,0.878075897693634,3.407816171646118,24.253934860229492,0.19047631162645262,0.01790961799223263,0.03701816590771629,2.516155417465223,0.0015809533864995567,0.0013805330535679318,0.002961453272617303,0.005922939712684792,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_real_resource_w002_start00288_96steps_trace.json,0.0
