profile,resource_weight,predictor,starts,objective_mean,objective_std,resource_proxy_mean,resource_proxy_std,tair_mae_mean,rhair_mae_mean,co2_mae_mean,control_delta_mean,action_tv_mean,resource_change_pct,co2_change_pct,rhair_change_pct,tair_change_pct
economic_sweep_top3_w000,0.0,current_hybrid_transformer,"0,96,192",0.04625309775454096,0.003894742224716679,0.363674538442865,0.056236536054540306,0.4769563178221385,1.217886249224345,30.76071039835612,26.891862869262695,4.556006952033688,0.0,0.0,0.0,0.0
economic_sweep_top3_w005,0.05,current_hybrid_transformer,"0,96,192",0.06458950893849962,0.006764267339146027,0.3278961081264748,0.08107647052509902,0.5110285182793936,1.177760362625122,31.39560890197754,34.032952626546226,4.067348391645485,-9.83803553297454,2.0639916809442336,-3.294715464993428,7.143673159176164
economic_sweep_top3_w015,0.15,current_hybrid_transformer,"0,96,192",0.09776053316373791,0.008993714591594183,0.3096417374650224,0.06607021434378892,0.48547598719596863,1.2549015283584595,36.61598141988119,36.43243916829427,5.472790654800417,-14.857460522035264,19.03490181370446,3.0393051204649884,1.7862577882881103
economic_sweep_top3_w030,0.3,current_hybrid_transformer,"0,96,192",0.13546905436346102,0.01144835909382257,0.26540197310451835,0.0756555162693108,0.6094981034596761,1.5198567310969036,35.97049522399902,30.46434211730957,5.50023635937315,-27.0221186666291,16.93649060172979,24.79463759976594,27.789082707352613
economic_sweep_top3_w000,0.0,itransformer_co2_residual,"0,96,192",0.05588232797324761,0.0077328884309575425,0.351548727032625,0.06507940918187598,0.6141026417414347,1.2579593062400818,9.372083028157553,18.432387669881184,3.9538374825691176,0.0,0.0,0.0,0.0
economic_sweep_top3_w005,0.05,itransformer_co2_residual,"0,96,192",0.07081696134991944,0.006382101673201353,0.32571906730946565,0.043030618250996765,0.5853147904078165,1.2441515723864238,9.778133869171143,17.35857105255127,3.607582967961207,-7.347391054771841,4.332557018473352,-1.0976296121158275,-4.6877914825416385
economic_sweep_top3_w015,0.15,itransformer_co2_residual,"0,96,192",0.09391191870801979,0.022813663055489427,0.2724964872985664,0.06434353279890184,0.5847273617982864,0.9929445187250773,11.709979375203451,14.628233909606934,3.4805790599849487,-22.486851368038742,24.945322614214003,-21.06703978422863,-4.7834479037327755
economic_sweep_top3_w030,0.3,itransformer_co2_residual,"0,96,192",0.15063653831991058,0.046018799356778974,0.26994489213555223,0.0741175142689423,0.8167852958043417,1.5863491892814636,15.891566276550293,16.702497164408367,3.222713816872177,-23.212666871497348,69.5627986735239,26.10496869115006,33.00468688559162
economic_sweep_top3_w000,0.0,transformer_forecaster,"0,96,192",0.06130940149564088,0.019312239373241485,0.35315494389376706,0.0817535074401942,0.4716697856783867,2.4679333766301474,23.995917638142902,35.02938652038574,4.896580210964506,0.0,0.0,0.0,0.0
economic_sweep_top3_w005,0.05,transformer_forecaster,"0,96,192",0.07361947363501208,0.018285583626189237,0.33228935766965156,0.07035736458237919,0.4509176512559255,2.37318754196167,24.792818705240887,35.328349590301514,4.944268625902219,-5.908337568223906,3.3209860073501156,-3.8390758667014224,-4.399716719741571
economic_sweep_top3_w015,0.15,transformer_forecaster,"0,96,192",0.09783468202739538,0.017412300312840637,0.29575512897119755,0.06249365863337516,0.451432762046655,2.3301546971003213,28.625298817952473,31.639928181966145,5.048610263652841,-16.25343660482239,19.292369850657014,-5.582755224857681,-4.290506673567284
economic_sweep_top3_w030,0.3,transformer_forecaster,"0,96,192",0.12690176954492927,0.01646427627494984,0.2728529834550702,0.046630185409030814,0.4461537003517151,2.626630345980326,33.53081194559733,33.92946990331014,5.431292401859537,-22.73845002800034,39.73548522394559,6.430358730626365,-5.409734967435465
