source_type,compartment,window_start_timestamp,window_end_timestamp,heat_cons_mj_m2,elec_high_kwh_m2,elec_low_kwh_m2,electricity_kwh_m2,co2_cons_kg_m2,irrigation_l_m2,drain_l_m2,heat_cost_eur_m2,electricity_cost_eur_m2,co2_cost_eur_m2,resource_cost_eur_m2,prod_a_kg_m2,prod_b_kg_m2,total_tomato_kg_m2,mean_price_eur_kg,estimated_income_eur_m2,crop_maintenance_cost_eur_m2,variable_cost_excl_fixed_eur_m2,same_period_margin_excl_fixed_eur_m2,heat_mj_per_kg_tomato,electricity_kwh_per_kg_tomato,co2_kg_per_kg_tomato,irrigation_l_per_kg_tomato,resource_cost_eur_per_kg_tomato,resource_cost_vs_reference_pct,resource_cost_vs_aicu_pct,predictor,resource_weight,objective_mean,co2_mae
real_agc_executed_resource,AICU,2020-05-06 06:25:00,2020-05-29 20:20:00,16.6371,0.047083333,0.452,0.499083333,1.224931666,100.80000000000001,44.2,0.13808793,0.02184666664,0.09799453328,0.25792912992,4.91,0.1,5.01,2.0978750000000006,10.3370525,0.9180000000000001,1.17592912992,9.16112337008,3.3207784431137726,0.09961743173652696,0.2444973385229541,20.11976047904192,0.051482860263473054,-24.69984640363397,0.0,,,,
real_agc_executed_resource,Automatoes,2020-05-06 06:25:00,2020-05-29 20:20:00,30.795899999999996,0.0,0.84375,0.84375,0.9759883330000001,112.06,35.28,0.25560596999999996,0.03375,0.07807906664000001,0.36743503664,4.5600000000000005,0.5473,5.1073,1.992875,9.3922683125,1.1934,1.56083503664,7.83143327586,6.029780901846376,0.16520470698803671,0.19109673075793474,21.94114306972373,0.07194310822548117,7.26944530949232,42.45581208836886,,,,
real_agc_executed_resource,Digilog,2020-05-06 06:25:00,2020-05-29 20:20:00,15.8163,0.58275,4.352,4.93475,1.019657499,188.95082727,36.95,0.13127529,0.2207,0.08157259992,0.43354788992,4.47,0.60322,5.07322,2.0362499999999994,9.728242174999998,1.0608,1.49434788992,8.233894285079998,3.117605780943858,0.9727056977619737,0.2009882281864378,37.244753286867116,0.08545812914086122,26.570514592446504,68.08798992749303,,,,
real_agc_executed_resource,IUACAAS,2020-05-06 06:25:00,2020-05-29 20:20:00,15.5625,0.0,0.0,0.0,0.873809167,163.0746,61.5,0.12916875,0.0,0.06990473336,0.19907348336,3.4800000000000004,0.5872,4.067200000000001,2.0974999999999997,7.931242,0.9792000000000001,1.1782734833600002,6.75296851664,3.8263424468922103,0.0,0.21484293051730918,40.095053107789134,0.04894607675059008,-41.882237657216,-22.818534136975856,,,,
real_agc_executed_resource,Reference,2020-05-06 06:25:00,2020-05-29 20:20:00,28.9,0.0,0.0,0.0,1.28330833,109.4,36.6,0.23987,0.0,0.10266466640000001,0.3425346664,4.96,0.0,4.96,2.0800000000000005,10.224000000000002,1.6320000000000001,1.9745346664,8.249465333600002,5.826612903225806,0.0,0.2587315181451613,22.056451612903228,0.0690594085483871,0.0,32.80185394578794,,,,
real_agc_executed_resource,TheAutomators,2020-05-06 06:25:00,2020-05-29 20:20:00,16.92,0.6000000000000001,1.2000000000000002,1.8000000000000003,1.612,135.72000000000003,65.19,0.140436,0.09600000000000002,0.12896000000000002,0.36539600000000005,5.072,0.013999999999999999,5.086,2.1799999999999997,10.94559,1.1016000000000001,1.4669960000000002,9.478594,3.326779394416044,0.35391270153362175,0.3169484860401101,26.685017695635082,0.07184349193865514,6.674166396140286,41.66527065528902,,,,
counterfactual_estimated_mpc_resource,Reference,2020-05-06 06:25:00,2020-05-29 20:20:00,12.10602112211313,nan,nan,1.9627747245092086,1.282499031695104,109.67521897840619,nan,0.10047997531352976,0.1424075977610679,0.10259992253560044,0.34548749561020997,,,,,,,,,,,,,,0.862052662068878,33.94667586300443,current_hybrid_transformer,0.0,0.06320617213467893,27.65868879965253
counterfactual_estimated_mpc_resource,Reference,2020-05-06 06:25:00,2020-05-29 20:20:00,10.660451947224766,nan,nan,1.7922350540408267,1.274314787067495,109.25345097478515,nan,0.08848175116195804,0.1311224329567878,0.1019451829653922,0.3215493670841466,,,,,,,,,,,,,,-6.12647459493852,24.665782102191883,current_hybrid_transformer,0.05,0.07936834360366447,27.81111799112057
counterfactual_estimated_mpc_resource,Reference,2020-05-06 06:25:00,2020-05-29 20:20:00,12.832176176284126,nan,nan,1.9087904283034407,1.3286384747002957,109.60964780429376,nan,0.10650706226314956,0.12954370852547545,0.10629107797601567,0.3423418487646532,,,,,,,,,,,,,,-0.05629142222985301,32.72709789345424,itransformer_co2_residual,0.0,0.07101375862966464,15.111674434725893
counterfactual_estimated_mpc_resource,Reference,2020-05-06 06:25:00,2020-05-29 20:20:00,11.918347286005122,nan,nan,1.610773789994306,1.3059551408873544,108.7227504474308,nan,0.09892228247383462,0.10987781175714158,0.10447641127098051,0.31327650550196756,,,,,,,,,,,,,,-8.541664178266208,21.458365559227165,itransformer_co2_residual,0.05,0.08972402567391359,15.70642732815692
