predictor,resource_weight,profile,segments,total_steps,coverage_start_timestamp,coverage_end_timestamp,objective_mean,tair_mae,rhair_mae,co2_mae,estimated_heat_mj_m2,estimated_electricity_kwh_m2,estimated_co2_kg_m2,estimated_irrigation_l_m2,estimated_heat_cost_eur_m2,estimated_electricity_cost_eur_m2,estimated_co2_cost_eur_m2,estimated_total_resource_cost_eur_m2,cost_change_vs_w000_pct,co2_mae_change_vs_w000_pct,objective_change_vs_w000_pct
current_hybrid_transformer,0.0,full_period_anchored_w000,283,6792,2020-05-06T06:25:00.000000000,2020-05-29T20:20:00.000000000,0.06320617213467897,0.5734050979725885,1.9711335003376007,27.65868879965253,12.106021122113136,1.9627747245092149,1.2824990316951126,109.6752189784062,0.10047997531353912,0.14240759776107373,0.10259992253560908,0.3454874956102218,0.0,0.0,0.0
current_hybrid_transformer,0.05,full_period_anchored_w050,283,6792,2020-05-06T06:25:00.000000000,2020-05-29T20:20:00.000000000,0.07936834360366452,0.5811053665598374,1.9337384230045884,27.81111799112057,10.660451947224775,1.7922350540408318,1.274314787067505,109.25345097478527,0.08848175116196562,0.1311224329567931,0.10194518296540034,0.32154936708415927,-6.9287973747881955,0.551107800417336,25.570558891855345
itransformer_co2_residual,0.0,full_period_anchored_w000,283,6792,2020-05-06T06:25:00.000000000,2020-05-29T20:20:00.000000000,0.07101375862966469,0.4495746078687085,0.8847741834266447,15.111674434725893,12.832176176284134,1.9087904283034476,1.3286384747003073,109.60964780429381,0.10650706226315833,0.12954370852548175,0.10629107797602452,0.3423418487646646,0.0,0.0,0.0
itransformer_co2_residual,0.05,full_period_anchored_w050,283,6792,2020-05-06T06:25:00.000000000,2020-05-29T20:20:00.000000000,0.08972402567391363,0.4867066306591876,0.9441218548339163,15.70642732815692,11.918347286005128,1.610773789994312,1.3059551408873649,108.7227504474308,0.09892228247384258,0.10987781175714781,0.10447641127098915,0.31327650550197944,-8.490151983336839,3.9357180172192794,26.347383106170458
